x,y
116.514769,39.789681
116.513235,39.791645
116.475971,39.794921
116.519632,39.791903
116.543396,39.794895
116.51262,39.787082
116.52381,39.786647
116.50707,39.798929
116.500216,39.77744
116.538553,39.790253
116.518135,39.785393
116.523398,39.778238
116.501756,39.786484
116.531939,39.792091
116.519046,39.784362
116.520166,39.784265
116.502645,39.799347
116.515493,39.79328
116.510632,39.794124
116.514378,39.78788
116.505286,39.780272
116.514295,39.794728
116.51829,39.793499
116.508135,39.797675
116.562762,39.786003
116.52072,39.76926
116.523797,39.774779
116.541569,39.802599
116.5109,39.784519
116.51358,39.800136
116.520878,39.794947
116.508685,39.784782
116.51884,39.779333
116.512313,39.793758
116.514939,39.783772
116.555673,39.80488
116.488105,39.795741
116.513544,39.792408
116.561086,39.794723
116.526494,39.787802
116.521518,39.777319
116.533489,39.779636
116.509062,39.786729
116.519312,39.79027
116.53725,39.776352
116.529318,39.803474
116.504773,39.787271
116.501181,39.780568
116.536903,39.770399
116.512501,39.779853
116.551513,39.806937
116.517433,39.787697
116.51666,39.789619
116.511733,39.790835
116.5114,39.79915
116.516644,39.79382
116.536327,39.806013
116.52031,39.786439
116.544878,39.792574
116.50121,39.785079
116.516026,39.782421
116.515174,39.797417
116.499511,39.781284
116.501814,39.80775
116.514726,39.79081
116.551114,39.788987
116.550682,39.781186
116.518689,39.79065
116.523091,39.787593
116.510156,39.795384
116.475522,39.798592
116.498645,39.78471
116.52333,39.784498
116.504697,39.804669
116.500505,39.783231
116.519495,39.784965
116.53092,39.775348
116.541063,39.771713
116.499992,39.789022
116.476676,39.796719
116.50954,39.798411
116.540088,39.804525
116.503746,39.790918
116.508539,39.793277
116.519121,39.786586
116.524538,39.766632
116.510618,39.773808
116.518274,39.792517
116.517347,39.798485
116.511859,39.783304
116.511482,39.794974
116.523683,39.780472
116.514455,39.797061
116.496464,39.787371
116.520798,39.790859
116.558294,39.793016
116.466446,39.796079
116.50756,39.78835
116.515344,39.788956
116.523691,39.788747
116.540091,39.793756
116.512841,39.795588
116.538501,39.774383
116.522486,39.779902
116.505157,39.783328
116.500804,39.794139
116.518737,39.794827
116.52389,39.7858
116.478729,39.793294
116.518977,39.79162
116.527722,39.80273
116.500624,39.799766
116.513986,39.790736
116.521693,39.787838
116.509239,39.774424
116.520511,39.787175
116.525329,39.801986
116.571139,39.790732
116.545587,39.787586
116.538948,39.805619
116.487335,39.792291
116.476901,39.793615
116.523643,39.791031
116.518929,39.792725
116.5024,39.785077
116.521748,39.787237
116.522164,39.783946
116.528185,39.774735
116.53268,39.804656
116.50784,39.803018
116.553735,39.792096
116.500242,39.807085
116.494668,39.785055
116.517529,39.7778
116.52978,39.776793
116.499906,39.793769
116.474303,39.792186
116.520806,39.783528
116.503447,39.801713
116.514151,39.791669
116.496218,39.794435
116.501854,39.78355
116.517906,39.789459
116.50105,39.787593
116.516292,39.797957
116.525899,39.800454
116.502164,39.797229
116.513879,39.796889
116.535301,39.805751
116.527608,39.797564
116.507879,39.794645
116.509157,39.801912
116.506814,39.801491
116.500956,39.789341
116.513489,39.784139
116.516919,39.787229
116.544304,39.799447
116.518178,39.798866
116.514726,39.792789
116.519206,39.78252
116.505563,39.800752
116.498062,39.806051
116.515605,39.789766
116.504636,39.809056
116.510121,39.791447
116.516521,39.784644
116.558375,39.784339
116.51226,39.790258
116.545786,39.79809
116.52026,39.782925
116.534914,39.778629
